date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:41:19	101852/101852	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Sep%202020%2019:41:18%20GMT	https://sites.google.com/diu.edu.bd/itsmraponresume	resume/resume/sites.google.com/diu.edu.bd/itsmraponresume.html	(from )
01:41:20	67/67	---MCZ	200	added ('OK')	text/plain	date:Wed,%2009%20Sep%202020%2019:41:19%20GMT	https://sites.google.com/robots.txt		(from )
01:41:21	101872/101872	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Sep%202020%2019:41:20%20GMT	https://sites.google.com/diu.edu.bd/itsmraponresume/home	resume/resume/sites.google.com/diu.edu.bd/itsmraponresume/home.html	(from https://sites.google.com/diu.edu.bd/itsmraponresume)
01:41:22	60291/60291	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Sep%202020%2019:41:21%20GMT	https://sites.google.com/diu.edu.bd/itsmraponresume/objective	resume/resume/sites.google.com/diu.edu.bd/itsmraponresume/objective.html	(from https://sites.google.com/diu.edu.bd/itsmraponresume)
01:41:23	62085/62085	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Sep%202020%2019:41:22%20GMT	https://sites.google.com/diu.edu.bd/itsmraponresume/work-experience	resume/resume/sites.google.com/diu.edu.bd/itsmraponresume/work-experience.html	(from https://sites.google.com/diu.edu.bd/itsmraponresume)
01:41:24	62362/62362	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Sep%202020%2019:41:24%20GMT	https://sites.google.com/diu.edu.bd/itsmraponresume/education	resume/resume/sites.google.com/diu.edu.bd/itsmraponresume/education.html	(from https://sites.google.com/diu.edu.bd/itsmraponresume)
01:41:25	62587/62587	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Sep%202020%2019:41:25%20GMT	https://sites.google.com/diu.edu.bd/itsmraponresume/additional-skills	resume/resume/sites.google.com/diu.edu.bd/itsmraponresume/additional-skills.html	(from https://sites.google.com/diu.edu.bd/itsmraponresume)
01:41:25	59658/59658	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Sep%202020%2019:41:25%20GMT	https://sites.google.com/diu.edu.bd/itsmraponresume/references	resume/resume/sites.google.com/diu.edu.bd/itsmraponresume/references.html	(from https://sites.google.com/diu.edu.bd/itsmraponresume)
01:41:27	62808/62808	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Sep%202020%2019:41:26%20GMT	https://sites.google.com/diu.edu.bd/itsmraponresume/personal-information	resume/resume/sites.google.com/diu.edu.bd/itsmraponresume/personal-information.html	(from https://sites.google.com/diu.edu.bd/itsmraponresume)
